municipio;RP
Jacaraci (BA);1,257431762
Iapu (MG);1,256262058
Atalanta (SC);1,255842313
Bom Jesus (PB);1,255727862
Espera Feliz (MG);1,254072903
Liberato Salzano (RS);1,253812065
Vista Serrana (PB);1,252177571
Urussanga (SC);1,251162196
Guarujá (SP);1,251025218
Santo André (SP);1,250228909
Colombo (PR);1,250011628
Brumadinho (MG);1,249678472
Sairé (PE);1,248563092
Mirassolândia (SP);1,247722643
Cassilândia (MS);1,247048884
Brasiléia (AC);1,246954813
Igaraçu do Tietê (SP);1,246012645
Paraíso (SP);1,245881439
Tarumirim (MG);1,245573688
Dom Eliseu (PA);1,244408695
São Luís (MA);1,243933376
Peixe-Boi (PA);1,243254837
Governador Celso Ramos (SC);1,242854201
Taboão da Serra (SP);1,242632169
Ibirité (MG);1,242152398
São Joaquim de Bicas (MG);1,241317173
Goioerê (PR);1,241038754
Acreúna (GO);1,240915551
Campina da Lagoa (PR);1,240421842
Cachoeirinha (RS);1,239875043
Viamão (RS);1,239057902
Vale do Paraíso (RO);1,237965281
Pedrinópolis (MG);1,23715083
Timon (MA);1,236930716
Queimada Nova (PI);1,236775202
Portão (RS);1,236540954
Santana (AP);1,236414632
Brejinho (PE);1,235816481
Sobradinho (RS);1,23444962
Astorga (PR);1,232882213
Junqueiro (AL);1,232517757
Antônio Almeida (PI);1,2321525
Tiros (MG);1,231683585
Porto Ferreira (SP);1,231583701
Cardoso Moreira (RJ);1,231449674
Cupira (PE);1,231364344
Belém (PA);1,231326976
São Vicente (SP);1,230952004
Aragarças (GO);1,230398816
Francisco Santos (PI);1,22999974
Boa Viagem (CE);1,229316149
Ponto Novo (BA);1,228455212
São José dos Campos (SP);1,228428892
Navegantes (SC);1,228313849
Sambaíba (MA);1,228226976
Rio Manso (MG);1,228226976
Barbosa Ferraz (PR);1,227919356
Foz do Iguaçu (PR);1,22762053
Mauá (SP);1,226487802
Esperantinópolis (MA);1,226485487
Arari (MA);1,226103127
Capela (SE);1,224617398
Barroso (MG);1,223551123
Urucará (AM);1,223546384
Araguaína (TO);1,223304909
Caririaçu (CE);1,222170876
Palhoça (SC);1,221314331
Belmonte (BA);1,221057927
Crato (CE);1,220857649
Iguatu (PR);1,220758487
Marco (CE);1,220671483
Jequitinhonha (MG);1,220350046
Sirinhaém (PE);1,219413583
Pombal (PB);1,219391799
Montalvânia (MG);1,218999582
Morungaba (SP);1,218439356
Nossa Senhora do Socorro (SE);1,218172512
Nazária (PI);1,217650201
Álvares Machado (SP);1,217416556
Breu Branco (PA);1,217161008
Campo do Meio (MG);1,217051426
Boa Esperança do Sul (SP);1,216540793
Lindolfo Collor (RS);1,216170118
Igaratinga (MG);1,216155145
Cantá (RR);1,215686942
Iguatu (CE);1,21567625
Esmeralda (RS);1,21556954
Pantano Grande (RS);1,215344411
Barras (PI);1,215239897
Cariacica (ES);1,214760983
Chorozinho (CE);1,2143271
Primeiro de Maio (PR);1,214266878
José de Freitas (PI);1,214095493
Campanário (MG);1,213146682
Piranguinho (MG);1,212744453
Corumbataí do Sul (PR);1,212547483
Tobias Barreto (SE);1,21241074
Mandirituba (PR);1,212329803
Juramento (MG);1,209973072
Maria Helena (PR);1,209216624
Araucária (PR);1,209106143
Amparo do Serra (MG);1,208522372
Malhador (SE);1,207909764
Corumbataí (SP);1,207569471
Alto Piquiri (PR);1,206503883
Marechal Thaumaturgo (AC);1,20521457
Linhares (ES);1,204786808
Apiúna (SC);1,204779584
Umuarama (PR);1,204123299
Uruguaiana (RS);1,203662204
São José do Divino (PI);1,203391245
São Pedro do Piauí (PI);1,20306285
Sobradinho (BA);1,203054417
Bombinhas (SC);1,202858803
Recife (PE);1,202770091
Ipu (CE);1,202285748
Santo Inácio (PR);1,202034045
Carmo do Paranaíba (MG);1,201932815
Ibirapuitã (RS);1,201920307
Cajazeirinhas (PB);1,201729947
Capão do Leão (RS);1,201714823
Mariápolis (SP);1,201668548
Bandeirantes (MS);1,201574715
Boa Esperança (MG);1,201349494
Balneário Camboriú (SC);1,201321402
Coreaú (CE);1,200778465
Prudente de Morais (MG);1,200241134
Pompéia (SP);1,199801428
José Boiteux (SC);1,199078485
Nova Monte Verde (MT);1,198442126
Rio de Janeiro (RJ);1,198414358
Ewbank da Câmara (MG);1,198350392
Itapeva (MG);1,197389047
Senador Amaral (MG);1,197191819
Santa Cruz (RN);1,196983995
Ouvidor (GO);1,196080789
Juvenília (MG);1,195922791
Paquetá (PI);1,195693296
Afonso Cunha (MA);1,195531119
Laje (BA);1,195131635
Juazeiro do Norte (CE);1,194792259
Cedro (CE);1,19404034
Lavras do Sul (RS);1,191470232
Campo Verde (MT);1,191117798
Piracanjuba (GO);1,190960113
Nova Russas (CE);1,190848481
Glorinha (RS);1,190696928
Curitiba (PR);1,189908399
Delmiro Gouveia (AL);1,189491696
Combinado (TO);1,189394145
Presidente Figueiredo (AM);1,189299214
Jardim (CE);1,188927205
Silvianópolis (MG);1,188759216
Amaralina (GO);1,188416365
Caraá (RS);1,187535859
Vitória (ES);1,187195779
Itápolis (SP);1,186494413
Carangola (MG);1,186441515
Buíque (PE);1,186290918
Areado (MG);1,186060102
Ibirama (SC);1,185970988
Santa Tereza do Tocantins (TO);1,184012965
Porecatu (PR);1,183926776
Ponte Alta do Norte (SC);1,183587367
Campestre (MG);1,183053601
Taipu (RN);1,182689297
Paulo Afonso (BA);1,182622628
João Pessoa (PB);1,182611845
Lajes Pintadas (RN);1,181691781
Assaí (PR);1,181042387
São Leopoldo (RS);1,180950628
Alto Paraguai (MT);1,180680984
Joinville (SC);1,180442359
São Benedito (CE);1,180307906
Ibaiti (PR);1,180193568
Itapecerica (MG);1,179425746
Luminárias (MG);1,178925906
Araçoiaba da Serra (SP);1,178881181
Guarapari (ES);1,178498139
Pitangueiras (SP);1,178408835
Rodeio (SC);1,178051527
Tibau do Sul (RN);1,176992072
Cachoeirinha (PE);1,17528003
Praia Grande (SC);1,174046155
Piedade do Rio Grande (MG);1,173647015
José Bonifácio (SP);1,173108377
Albertina (MG);1,172628224
Natal (RN);1,17220993
Tauá (CE);1,172111117
Guarulhos (SP);1,171173073
Amarante (PI);1,170859144
Morada Nova (CE);1,170738828
São José do Belmonte (PE);1,170373364
Barra do Jacaré (PR);1,170127951
Taperoá (BA);1,16976879
Palotina (PR);1,169580349
Duas Barras (RJ);1,168783542
Araguapaz (GO);1,168529845
Bom Jesus (RS);1,168231654
Rio Grande (RS);1,168106365
Sinop (MT);1,168088525
Coronel Bicaco (RS);1,168047645
Itapemirim (ES);1,167917928
São José de Ribamar (MA);1,167819365
Rio Crespo (RO);1,167560687
Lontras (SC);1,167435976
Ibiraçu (ES);1,166726573
Lagoa Seca (PB);1,166115973
Patu (RN);1,165916534
Nossa Senhora da Glória (SE);1,165685555
Caratinga (MG);1,165540911
Iguaba Grande (RJ);1,164228309
São Miguel do Fidalgo (PI);1,163923667
Igarapé Grande (MA);1,163573623
São José dos Cordeiros (PB);1,163346207
São Tomé das Letras (MG);1,161757974
Serra Talhada (PE);1,161693798
Parnaíba (PI);1,161585955
Pains (MG);1,161394498
Muriaé (MG);1,161319596
São Bento do Una (PE);1,161032131
Machado (MG);1,160554672
São Paulo (SP);1,160245896
Igarassu (PE);1,160209335
Imperatriz (MA);1,159893373
Itarema (CE);1,159607211
Casinhas (PE);1,158973033
São Joaquim do Monte (PE);1,158758239
