municipio;RP
Ariquemes (RO);0,904166077
Piritiba (BA);0,903603304
Pinheiro Machado (RS);0,903469579
Paripueira (AL);0,903182245
Vitória de Santo Antão (PE);0,902952768
Aperibé (RJ);0,902904604
Bonito (MS);0,902852857
Minduri (MG);0,902745065
Poranga (CE);0,902724488
Oeiras (PI);0,902678827
Mucuri (BA);0,902606005
Embu das Artes (SP);0,902586619
Araputanga (MT);0,902192525
União da Vitória (PR);0,902083995
Agrestina (PE);0,901847217
Santa Cruz da Vitória (BA);0,901829013
Garanhuns (PE);0,901725481
Presidente Juscelino (MG);0,901553128
Rondonópolis (MT);0,901480301
Cachoeira de Goiás (GO);0,901379703
Pinhal da Serra (RS);0,901379703
Bom Repouso (MG);0,901094659
Conceição da Barra (ES);0,900931059
Portelândia (GO);0,900921685
Itapema (SC);0,900548829
Altamira (PA);0,89992593
Pentecoste (CE);0,899822298
Presidente Castello Branco (SC);0,899778673
Arujá (SP);0,899053754
Novo Horizonte (SP);0,898839545
Tucuruí (PA);0,898793219
São Mateus do Sul (PR);0,898776937
Igarapé-Açu (PA);0,898609868
Arapuá (MG);0,898524706
Barroquinha (CE);0,898368297
Tupaciguara (MG);0,898324378
Feira de Santana (BA);0,898034661
Montanha (ES);0,897898183
São Tiago (MG);0,897701807
Propriá (SE);0,897643426
Augusto Pestana (RS);0,897555133
Piedade (SP);0,897369411
Ponta Grossa (PR);0,897368775
São Luís do Curu (CE);0,897187368
Vassouras (RJ);0,897073017
Passabém (MG);0,897060592
Governador Jorge Teixeira (RO);0,896948473
Brasilândia (MS);0,89686463
Goianésia do Pará (PA);0,896752333
Caxambu do Sul (SC);0,896626003
Porto Walter (AC);0,896593616
Mato Grosso (PB);0,896417329
Marau (RS);0,896232652
Camanducaia (MG);0,896152711
Floresta (PR);0,896122085
Capela do Alto Alegre (BA);0,89584256
Sanclerlândia (GO);0,895687737
Vicentinópolis (GO);0,895519912
Santa Cruz de Minas (MG);0,895414227
Bocaiúva do Sul (PR);0,895144126
Alto Paraíso (RO);0,894991248
Conselheiro Lafaiete (MG);0,894832731
Rio Verde (GO);0,894434523
Rio Largo (AL);0,894386981
Paulo Lopes (SC);0,894318249
Caldas Novas (GO);0,893757157
Serranópolis do Iguaçu (PR);0,893698683
Viçosa (AL);0,893634991
São José da Varginha (MG);0,893431028
Nova Aliança do Ivaí (PR);0,893431028
Alcinópolis (MS);0,893234107
Pirassununga (SP);0,893139474
Maurilândia (GO);0,893127553
Extremoz (RN);0,893126622
Trombas (GO);0,893001494
Roncador (PR);0,892994278
Querência do Norte (PR);0,892887528
Alegrete do Piauí (PI);0,892756231
Alfenas (MG);0,892723931
Cosmópolis (SP);0,892698622
Coruripe (AL);0,892624682
Remanso (BA);0,892429424
Santa Bárbara (MG);0,892345984
Luziânia (GO);0,892217737
Mirassol d'Oeste (MT);0,892046769
Piumhi (MG);0,892006474
Barra do Choça (BA);0,891915039
Guapimirim (RJ);0,89172007
Alvinópolis (MG);0,891443516
Cuité de Mamanguape (PB);0,891430063
Congonhal (MG);0,89129479
Mojuí dos Campos (PA);0,890959941
Matupá (MT);0,890896283
Santa Bárbara (BA);0,890552707
Sertanópolis (PR);0,890402448
Coité do Nóia (AL);0,890373031
Medianeira (PR);0,889807611
Catunda (CE);0,889239328
Hidrolândia (CE);0,888977634
Penedo (AL);0,888198401
Pedro Gomes (MS);0,887960517
Vazante (MG);0,887616458
Caçador (SC);0,887583491
Lajinha (MG);0,887449093
Santo Antônio do Rio Abaixo (MG);0,887254099
Ecoporanga (ES);0,886829421
Matos Costa (SC);0,88679744
Araci (BA);0,886354841
Ribeira do Pombal (BA);0,8863428
Tavares (PB);0,886144696
Rio Verde de Mato Grosso (MS);0,886127777
Juazeiro (BA);0,886109147
Panorama (SP);0,885818595
Taguatinga (TO);0,885810943
Maués (AM);0,885621316
Lagoão (RS);0,885234413
Eldorado (SP);0,885056608
Estreito (MA);0,885018382
Garopaba (SC);0,884901996
Granja (CE);0,88474694
Vanini (RS);0,884737463
Rochedo de Minas (MG);0,88446162
Umirim (CE);0,884404664
Jaguariaíva (PR);0,884151203
Jumirim (SP);0,884075729
Água Branca (AL);0,883912942
Lucélia (SP);0,883811313
Marliéria (MG);0,882535528
Turiúba (SP);0,882373713
Bom Jesus (RN);0,88229905
Corrente (PI);0,882114934
São Francisco do Maranhão (MA);0,881803983
Coaraci (BA);0,881652975
Ivoti (RS);0,88165234
Autazes (AM);0,881587113
Amélia Rodrigues (BA);0,881438665
Santa Terezinha (BA);0,881408515
Pedra Mole (SE);0,881370674
Sampaio (TO);0,881349043
Catolé do Rocha (PB);0,881163507
Itamaraju (BA);0,881049952
Bacabeira (MA);0,880818937
Águas de São Pedro (SP);0,880736594
Arcos (MG);0,880660332
Anápolis (GO);0,88055378
Belo Campo (BA);0,880426492
Jaú (SP);0,880360541
Dores do Turvo (MG);0,880352932
Senhor do Bonfim (BA);0,880285461
Belém (PB);0,880275514
Telêmaco Borba (PR);0,87982276
Miraí (MG);0,879406658
Lagarto (SE);0,87937593
Ouro Preto do Oeste (RO);0,879370784
Pereiras (SP);0,879370508
Peabiru (PR);0,879339373
Queimadas (PB);0,878696109
Valinhos (SP);0,878545578
Curvelândia (MT);0,87821555
Taiaçu (SP);0,87745723
Conchal (SP);0,87731169
Belterra (PA);0,876992964
Santa Terezinha de Itaipu (PR);0,876933744
Campestre de Goiás (GO);0,876894821
Ubiratã (PR);0,876734925
Ijuí (RS);0,876359098
Santa Rita do Trivelato (MT);0,876249662
Cidade Gaúcha (PR);0,876173247
Munhoz de Melo (PR);0,87613225
Barra do Bugres (MT);0,875792124
Guarani (MG);0,875594837
Una (BA);0,87544513
Riacho dos Cavalos (PB);0,874811307
Imbituva (PR);0,874651182
Palmital (PR);0,874545104
Acaraú (CE);0,87451215
Icapuí (CE);0,874506114
Buriti dos Montes (PI);0,874502405
Santa Cecília (SC);0,874379672
Serrinha (BA);0,87436502
São Cristóvão do Sul (SC);0,874267197
Lagoa Santa (MG);0,874122598
Rorainópolis (RR);0,874110346
Santa Rosa da Serra (MG);0,873750185
Catarina (CE);0,873718501
Nova Trento (SC);0,873384641
Tefé (AM);0,873299148
Paraibano (MA);0,87321467
Sooretama (ES);0,872900521
Itapaci (GO);0,872839788
Verê (PR);0,872818588
Bananal (SP);0,8723253
Embaúba (SP);0,872277904
Palmeirais (PI);0,872044994
Brás Pires (MG);0,872039018
Novo Xingu (RS);0,871990855
Capanema (PA);0,871950049
Cajazeiras (PB);0,871808356
Cambé (PR);0,871792777
Xique-Xique (BA);0,871512953
Irecê (BA);0,871409123
Barrolândia (TO);0,871122907
Tracuateua (PA);0,871013236
Belo Vale (MG);0,871009814
Juara (MT);0,870753555
Ibititá (BA);0,870712218
Ibiporã (PR);0,870421323
Imbé de Minas (MG);0,87015527
Lençóis (BA);0,869838943
Açu (RN);0,869757383
Formoso (GO);0,869657327
Boa Nova (BA);0,869577921
Santa Izabel do Pará (PA);0,869510437
Santa Cruz do Sul (RS);0,869450623
Porciúncula (RJ);0,869296814
Rio Tinto (PB);0,86898807
Isaías Coelho (PI);0,868836966
Aguaí (SP);0,868721833
Cícero Dantas (BA);0,86868657
Governador Mangabeira (BA);0,868672517
Itatiba do Sul (RS);0,868505194
São Mateus (ES);0,868498388
Angatuba (SP);0,868121736
Coronel Macedo (SP);0,867964069
Rio Claro (SP);0,867690626
Pedra Branca do Amapari (AP);0,867491138
Dois Irmãos do Tocantins (TO);0,867377919
Franca (SP);0,86719725
Pilar (AL);0,866491696
Ituiutaba (MG);0,866453374
Jaboticabal (SP);0,866380921
Carmo do Rio Claro (MG);0,866292112
Terra de Areia (RS);0,866024638
Lagoa Grande (PE);0,865743123
Porto Grande (AP);0,865673996
Santana de Parnaíba (SP);0,865631789
Pindoba (AL);0,865623764
São Félix (BA);0,865273284
Taubaté (SP);0,865107615
Floreal (SP);0,864990304
Água Preta (PE);0,864680923
Parnarama (MA);0,864555337
Anchieta (ES);0,864453518
Novo Oriente (CE);0,864368977
Rio das Antas (SC);0,86414055
Santo Ângelo (RS);0,863863719
Mombaça (CE);0,863646048
Santa Inês (PB);0,86339159
Matutina (MG);0,863329852
Trindade (PE);0,863199168
Poços de Caldas (MG);0,863153831
Estrela (RS);0,863102178
Teotônio Vilela (AL);0,863084942
Duas Estradas (PB);0,862817521
Vargem Grande (MA);0,862618077
Graça (CE);0,862583996
Costa Marques (RO);0,862546206
Campo Limpo Paulista (SP);0,862432774
Rubelita (MG);0,862281293
Castilho (SP);0,862169663
Caxambu (MG);0,862095598
Mococa (SP);0,861993756
Jarinu (SP);0,861499825
Trairi (CE);0,861419539
São Caetano de Odivelas (PA);0,861212617
Sete Lagoas (MG);0,861011312
Itapetinga (BA);0,860986752
Flores da Cunha (RS);0,860909236
São José da Lapa (MG);0,860796311
São João do Polêsine (RS);0,8605471
Nova Resende (MG);0,860418733
Faxinal (PR);0,860313733
Claro dos Poções (MG);0,860080093
Tremedal (BA);0,860042497
Canudos (BA);0,859757471
Palmelo (GO);0,85961591
Bodocó (PE);0,859523768
Boracéia (SP);0,859512862
Três Barras (SC);0,859428525
Uruaçu (GO);0,859254866
Mirador (MA);0,859146728
Pesqueira (PE);0,858803133
Mucambo (CE);0,858748959
São Pedro (SP);0,858505105
Santa Clara do Sul (RS);0,858145238
Nova Santa Rita (RS);0,858138902
Pintópolis (MG);0,858117549
Bragança Paulista (SP);0,85808762
Jaguaré (ES);0,857979132
Teixeira Soares (PR);0,857822931
Bela Cruz (CE);0,857816455
Santa Rosa de Lima (SE);0,857802714
Romelândia (SC);0,857771589
Algodão de Jandaíra (PB);0,857730093
Israelândia (GO);0,857484389
Volta Redonda (RJ);0,857323248
Paraipaba (CE);0,856976624
Irati (SC);0,856942424
Conceição das Alagoas (MG);0,856756945
Capistrano (CE);0,856329873
Barão de Cocais (MG);0,855868492
São João da Canabrava (PI);0,855836158
Alterosa (MG);0,855517193
Nova Andradina (MS);0,855366889
Missão Velha (CE);0,855252392
Xavantina (SC);0,855155103
Catanduvas (SC);0,854999796
Caarapó (MS);0,854993531
Milhã (CE);0,854873625
Bandeira (MG);0,854799229
Zé Doca (MA);0,854618095
Itapira (SP);0,854584852
Santa Luz (PI);0,854418766
Crateús (CE);0,854349999
Rio Maria (PA);0,854212205
Morro do Chapéu do Piauí (PI);0,854147874
Conselheiro Mairinck (PR);0,853806162
Araripe (CE);0,853553376
Pirapora (MG);0,853311306
Virgolândia (MG);0,853195228
Apucarana (PR);0,85315475
Valença (RJ);0,853121133
Arapongas (PR);0,852527038
Congonhinhas (PR);0,852410517
Uru (SP);0,85220566
Planaltina (GO);0,852081634
Carlos Barbosa (RS);0,852063586
Itiruçu (BA);0,852045165
Lima Campos (MA);0,851990127
Morro Redondo (RS);0,85183314
Milton Brandão (PI);0,85177764
Tabaí (RS);0,851673492
Piedade de Caratinga (MG);0,851320667
Lauro Müller (SC);0,851278678
Batayporã (MS);0,851228256
Bebedouro (SP);0,851223715
Exu (PE);0,851106476
Caracol (PI);0,851002146
Taiúva (SP);0,850997148
Ibiúna (SP);0,850936775
Mandaguari (PR);0,850822963
Nova Brasilândia D'Oeste (RO);0,850808003
Limeira (SP);0,850456686
São Francisco do Conde (BA);0,850112321
Feira Nova do Maranhão (MA);0,849747491
Piratuba (SC);0,848829167
Borborema (SP);0,848684114
Coração de Jesus (MG);0,848384529
Minaçu (GO);0,848190255
Presidente Getúlio (SC);0,848089738
Brunópolis (SC);0,848023626
Maripá de Minas (MG);0,847532889
Ipaba (MG);0,847445608
Tibau (RN);0,847116042
Ibiá (MG);0,846989013
Alto Santo (CE);0,846976402
Timbé do Sul (SC);0,846486917
Guimarânia (MG);0,846483219
Aracruz (ES);0,846386013
Corumbá (MS);0,846327015
Buriti dos Lopes (PI);0,84626838
Poção de Pedras (MA);0,846211056
Inhapi (AL);0,846129313
Barcarena (PA);0,845958907
Juscimeira (MT);0,845763214
Ponto dos Volantes (MG);0,845611165
Alto do Rodrigues (RN);0,845374401
Santa Maria do Suaçuí (MG);0,845084588
Porto da Folha (SE);0,845054777
São Joaquim da Barra (SP);0,845022588
Nova Esperança (PR);0,844768695
Arroio do Padre (RS);0,844617174
Palmital (SP);0,844550858
Acari (RN);0,84453134
Paranapanema (SP);0,844509979
Ituberá (BA);0,844215224
Conceição do Jacuípe (BA);0,844101024
Ibotirama (BA);0,844003499
Carmolândia (TO);0,843908727
Baixio (CE);0,843700251
Rebouças (PR);0,843477929
Canaã dos Carajás (PA);0,843426987
Chapadinha (MA);0,843400164
Pinhal Grande (RS);0,84318287
São Bernardo (MA);0,842944863
Formigueiro (RS);0,842580829
Barra do Ribeiro (RS);0,842565752
Antônio Carlos (SC);0,842486992
Pilões (PB);0,842434011
Coimbra (MG);0,842275605
Alenquer (PA);0,842138297
Guarapuava (PR);0,842006478
Senador Pompeu (CE);0,841995969
Marapanim (PA);0,841972925
Rancharia (SP);0,841693409
Paraíso do Norte (PR);0,841423831
Rio das Pedras (SP);0,84084271
Guarantã (SP);0,840745427
Emilianópolis (SP);0,840370592
Jucuruçu (BA);0,839482785
São João (PE);0,839439863
Vitória da Conquista (BA);0,839104262
Feijó (AC);0,838906163
Penalva (MA);0,838812771
Teófilo Otoni (MG);0,838652155
Pindamonhangaba (SP);0,838535365
Araripina (PE);0,838457846
Rodeiro (MG);0,838055629
Lajedinho (BA);0,837829069
Poxoréu (MT);0,837656343
Cerqueira César (SP);0,837646209
Cacoal (RO);0,837616653
Bom Jardim (PE);0,836910457
Pedro Velho (RN);0,836719098
Goianinha (RN);0,83668324
Cansanção (BA);0,836647483
Canela (RS);0,83659906
Coronel João Sá (BA);0,836570136
Itarana (ES);0,836564063
Tremembé (SP);0,836488396
Paulínia (SP);0,836371615
Bom Jesus do Tocantins (TO);0,836347025
Vera Cruz (BA);0,835775747
Solânea (PB);0,835651995
Matias Cardoso (MG);0,835275147
Fátima (BA);0,835092154
Piripiri (PI);0,834785047
Mogi Guaçu (SP);0,833533856
Japaratuba (SE);0,833405956
Teixeirópolis (RO);0,833183212
Itapirapuã (GO);0,833009784
Rio Negro (PR);0,832864026
Theobroma (RO);0,832532796
Descalvado (SP);0,832168714
Itati (RS);0,832130416
Tumiritinga (MG);0,831956416
São Francisco do Oeste (RN);0,831915049
Bituruna (PR);0,831627665
Potengi (CE);0,831579667
Demerval Lobão (PI);0,831280967
Jussara (BA);0,831179306
Ivaiporã (PR);0,830874473
Restinga (SP);0,830581141
Divino de São Lourenço (ES);0,830505923
Vitória do Mearim (MA);0,830451464
Andradina (SP);0,830409791
Britânia (GO);0,830208429
Uniflor (PR);0,830062676
Bragança (PA);0,830010651
Heliópolis (BA);0,829956706
Apiacá (ES);0,829914922
Barcelos (AM);0,829319738
Jales (SP);0,829129125
Jaraguá (GO);0,828927295
Dores do Indaiá (MG);0,828917244
Canoinhas (SC);0,828700476
Pescaria Brava (SC);0,828549874
São Miguel Arcanjo (SP);0,827453382
Aratuba (CE);0,827442582
Macambira (SE);0,827253372
Tururu (CE);0,827200497
Ilhota (SC);0,827154862
Serra dos Aimorés (MG);0,826783956
Espigão D'Oeste (RO);0,826668215
São João Batista (SC);0,826547382
Panambi (RS);0,826539191
Sério (RS);0,826458223
Tijucas (SC);0,826421969
São Miguel dos Milagres (AL);0,826176169
Itapiratins (TO);0,826117732
Jerumenha (PI);0,826080991
Vila Bela da Santíssima Trindade (MT);0,825467633
Mangaratiba (RJ);0,82544834
Guaçuí (ES);0,825369222
Jatobá (PE);0,825021741
Caetité (BA);0,824618356
Bonito (PE);0,824601029
São Felipe (BA);0,82418715
Campo Maior (PI);0,824140519
Brejo dos Santos (PB);0,823412923
Tambaú (SP);0,823219479
Bom Jardim (RJ);0,823201538
Concórdia (SC);0,82313486
Queimados (RJ);0,823125382
Campos Sales (CE);0,822962478
Aripuanã (MT);0,822830168
Tenente Ananias (RN);0,822736622
Lagoa (PB);0,822300562
Gentio do Ouro (BA);0,822261908
Casa Nova (BA);0,822202938
Itaperuçu (PR);0,822195809
Tanabi (SP);0,822069706
Cacimbinhas (AL);0,821578103
Pai Pedro (MG);0,821325624
Irituia (PA);0,820972343
Governador Edison Lobão (MA);0,820858865
Patos de Minas (MG);0,820777162
Fortuna (MA);0,820618715
Poço Redondo (SE);0,820583763
Guarinos (GO);0,820459915
Patrocínio Paulista (SP);0,820322611
Americana (SP);0,819594173
Álvares Florence (SP);0,819491909
Resende Costa (MG);0,819482307
Maquiné (RS);0,81948028
Hulha Negra (RS);0,819426952
Ipuaçu (SC);0,819171075
Xinguara (PA);0,818864426
Candeias (BA);0,818840609
Serra da Raiz (PB);0,818641553
Dores de Campos (MG);0,818390678
Conceição do Almeida (BA);0,817884799
Bom Jardim da Serra (SC);0,817868866
Pedras de Maria da Cruz (MG);0,817344239
Rolim de Moura (RO);0,817259879
Volta Grande (MG);0,817118385
Amparo do São Francisco (SE);0,817057085
Getulina (SP);0,816897379
Ubajara (CE);0,81679942
Itacoatiara (AM);0,816599651
São Vicente (RN);0,816193845
União de Minas (MG);0,816061021
Hidrolândia (GO);0,815623755
Cerro Negro (SC);0,814511736
Curralinho (PA);0,814333803
Cajati (SP);0,814239483
Antas (BA);0,814219682
Júlio Mesquita (SP);0,813727908
Witmarsum (SC);0,813536667
Nhamundá (AM);0,813432213
João Dias (RN);0,81338374
Rifaina (SP);0,813223031
Tapiraí (SP);0,813037878
Teresina de Goiás (GO);0,812721228
Cachoeiras de Macacu (RJ);0,812518119
Baraúna (RN);0,812513326
Doutor Pedrinho (SC);0,812489174
Marabá Paulista (SP);0,812352114
Araras (SP);0,812253781
Mairi (BA);0,812095138
Palmares (PE);0,812057506
Caicó (RN);0,8118992
Sanharó (PE);0,81147082
Dracena (SP);0,811355378
Tabira (PE);0,811320969
Patrocínio (MG);0,811150751
Caieiras (SP);0,811136133
Tupiratins (TO);0,810953137
Rolador (RS);0,810756485
Tomé-Açu (PA);0,810750487
Estância Velha (RS);0,810396603
Japeri (RJ);0,810192343
Santa Bárbara de Goiás (GO);0,81010322
Cabreúva (SP);0,809971788
Materlândia (MG);0,809566193
Iturama (MG);0,809127254
Três Cachoeiras (RS);0,80870912
Guaíra (SP);0,808202635
Encruzilhada do Sul (RS);0,808172674
Presidente Kennedy (ES);0,807551797
Boa Ventura de São Roque (PR);0,807491872
Caxias (MA);0,80732532
São José do Bonfim (PB);0,807312214
Itiquira (MT);0,807307957
Igaracy (PB);0,807219996
Manoel Viana (RS);0,806925465
Acrelândia (AC);0,806898018
Videira (SC);0,806755364
Lavras (MG);0,806728281
Felisburgo (MG);0,806690152
Varzelândia (MG);0,806648715
Goianira (GO);0,80653655
Manacapuru (AM);0,806313545
Guapiara (SP);0,806160438
Monte Sião (MG);0,806124098
Ipuã (SP);0,806090635
Japoatã (SE);0,806067108
São Sebastião (SP);0,80605885
Ituaçu (BA);0,805928252
Muritiba (BA);0,805852566
Heitoraí (GO);0,805526365
Igrejinha (RS);0,805484933
Piracicaba (SP);0,80535487
Borda da Mata (MG);0,80528916
Aricanduva (MG);0,805110288
Anita Garibaldi (SC);0,80505846
Senhora dos Remédios (MG);0,804939713
São Sebastião do Rio Preto (MG);0,804726597
São Geraldo (MG);0,804713553
Catuji (MG);0,804659823
Betânia (PE);0,804302692
Vertente do Lério (PE);0,804300703
São Brás do Suaçuí (MG);0,804289502
Pinhalzinho (SP);0,804140742
Quintana (SP);0,803745177
Fátima (TO);0,803624073
Itapuí (SP);0,803558107
Madre de Deus (BA);0,80304501
Bossoroca (RS);0,802722751
Igrapiúna (BA);0,802498215
Pitanga (PR);0,802363186
Lebon Régis (SC);0,802195459
Santa Luzia (BA);0,802004796
Aroazes (PI);0,801991216
São Francisco de Itabapoana (RJ);0,801964344
Igreja Nova (AL);0,80194339
Quijingue (BA);0,801797077
Augustinópolis (TO);0,801604469
Jacundá (PA);0,801592943
Cruzeta (RN);0,80157672
Araguari (MG);0,801234904
Mato Rico (PR);0,801134434
Tapejara (RS);0,801075502
Sussuapara (PI);0,800856061
Wenceslau Braz (PR);0,800819275
Arambaré (RS);0,800763632
São Raimundo das Mangabeiras (MA);0,800341372
Campos Altos (MG);0,800122934
Paraúna (GO);0,800014302
Altamira do Paraná (PR);0,799608327
Saloá (PE);0,799380559
Tabuleiro (MG);0,799280225
João Monlevade (MG);0,799154317
Davinópolis (GO);0,799014815
Santa Luzia do Paruá (MA);0,798894285
Araguatins (TO);0,798847926
Mulungu (CE);0,798838416
Alto Rio Doce (MG);0,798476808
Água Branca (PI);0,797544673
Campos Belos (GO);0,797293942
Arapeí (SP);0,797185883
São Domingos do Sul (RS);0,797080623
Itabaianinha (SE);0,797011287
Limeira do Oeste (MG);0,796960635
Naviraí (MS);0,796486404
Campo Novo do Parecis (MT);0,796484837
Santos Dumont (MG);0,796389494
Ouro Verde do Oeste (PR);0,796384799
Barra do Quaraí (RS);0,79631438
Ocara (CE);0,796274553
Apiacás (MT);0,796131293
Ibertioga (MG);0,79588926
Nossa Senhora Aparecida (SE);0,795639428
Curionópolis (PA);0,795623842
Lamim (MG);0,795501559
Itaqui (RS);0,795477836
Tuneiras do Oeste (PR);0,795416096
Janaúba (MG);0,795341782
Novo Cruzeiro (MG);0,794996292
Ipuiúna (MG);0,794845535
Touros (RN);0,794838541
Bonito de Minas (MG);0,794316571
São José da Vitória (BA);0,794254301
Caldeirão Grande (BA);0,793944614
Sombrio (SC);0,793872944
Padre Marcos (PI);0,793756492
Óbidos (PA);0,793711405
Barra do Piraí (RJ);0,793543702
Pratápolis (MG);0,793470062
Curaçá (BA);0,792913503
Iracema do Oeste (PR);0,792762743
Senador Elói de Souza (RN);0,792629841
Flores (PE);0,792548452
Acará (PA);0,792467252
Pedro Canário (ES);0,792431228
Pilõezinhos (PB);0,792167688
Bataguassu (MS);0,791833361
Barra de Santa Rosa (PB);0,791687623
Ipubi (PE);0,791642289
São Francisco do Glória (MG);0,791524052
Goianésia (GO);0,791520472
Acorizal (MT);0,79141881
Riachuelo (SE);0,791403411
Gararu (SE);0,791333827
Capitão de Campos (PI);0,791048662
Cocal de Telha (PI);0,790825632
Riacho dos Machados (MG);0,790680338
Morro Agudo de Goiás (GO);0,790664633
Bom Jesus (SC);0,790478947
São Sebastião do Paraíso (MG);0,790245195
Santiago (RS);0,790154651
Monte Formoso (MG);0,790138899
Brejo (MA);0,789358882
Campestre do Maranhão (MA);0,789314828
Areia Branca (SE);0,789145525
Santana do Ipanema (AL);0,789126532
Lajeado (RS);0,788881299
Jussari (BA);0,788656211
Macedônia (SP);0,788261819
Ibipeba (BA);0,788202794
Mangueirinha (PR);0,788202794
Altinópolis (SP);0,788166812
Francisco Beltrão (PR);0,78781751
Não-Me-Toque (RS);0,787779739
Limoeiro (PE);0,787368702
Veranópolis (RS);0,787317264
Pederneiras (SP);0,787280412
Miranda (MS);0,786895256
Batatais (SP);0,786437148
Nova Hartz (RS);0,785955118
Inácio Martins (PR);0,785794301
Cedral (MA);0,785734429
Alumínio (SP);0,785683277
Aiuruoca (MG);0,785640216
Davinópolis (MA);0,785442732
Vila Rica (MT);0,785368461
Itaberaí (GO);0,78514241
Assis (SP);0,785105522
Várzea Branca (PI);0,784999785
São José da Coroa Grande (PE);0,7848667
Adustina (BA);0,78477985
Sabáudia (PR);0,784765023
Traipu (AL);0,784638313
Uirapuru (GO);0,784546117
Pauini (AM);0,784455778
Nova Esperança do Sudoeste (PR);0,784405945
Coelho Neto (MA);0,784341851
Juripiranga (PB);0,784250758
Novo Itacolomi (PR);0,783503274
Parobé (RS);0,783343946
Passa e Fica (RN);0,78261311
São Francisco do Pará (PA);0,782277027
Ribeirão do Pinhal (PR);0,782231018
Monte Mor (SP);0,782114844
Santa Vitória do Palmar (RS);0,782080161
Agudos (SP);0,782001115
Garibaldi (RS);0,781957065
Assis Brasil (AC);0,78175215
Gameleira de Goiás (GO);0,78175215
Rubiácea (SP);0,78175215
Mendonça (SP);0,781371364
Pequeri (MG);0,781052282
Campo Magro (PR);0,781026385
Serro (MG);0,780755017
Igaratá (SP);0,780204126
Dona Emma (SC);0,780085301
Quixelô (CE);0,780081529
São Sebastião de Lagoa de Roça (PB);0,780052688
Itaberaba (BA);0,779769928
Ivatuba (PR);0,77944269
Maranhãozinho (MA);0,779195733
Turvelândia (GO);0,779086194
Arroio Grande (RS);0,778991663
Ipeúna (SP);0,77866222
Santo Antônio do Grama (MG);0,778609613
Bernardo Sayão (TO);0,778609613
Ouro Branco (MG);0,7783606
Mineiros (GO);0,778260641
São Pedro da União (MG);0,777751371
Brasília de Minas (MG);0,777724387
Aparecida (SP);0,777695651
Guarará (MG);0,77753183
Juazeiro do Piauí (PI);0,777254151
Ponte Serrada (SC);0,776980444
Santana do Cariri (CE);0,77686447
Céu Azul (PR);0,77674589
Guaramiranga (CE);0,776498067
Bom Jesus das Selvas (MA);0,776421835
Unaí (MG);0,775876757
Campo Bonito (PR);0,775734192
Monte Santo (BA);0,77573112
Pau dos Ferros (RN);0,775622068
Nonoai (RS);0,775427017
Formoso (MG);0,775359661
Rio Preto da Eva (AM);0,77535668
Glicério (SP);0,77532886
Campos de Júlio (MT);0,775194718
Carnaubal (CE);0,775120202
Bom Jesus dos Perdões (SP);0,775002495
Caputira (MG);0,774753473
São Raimundo Nonato (PI);0,774162323
Palmeiras de Goiás (GO);0,773850706
São Sebastião da Boa Vista (PA);0,773734335
São Fernando (RN);0,773692849
Jaborandi (SP);0,773584027
Ubirajara (SP);0,773221729
Mirassol (SP);0,77314926
Ladário (MS);0,772816594
Itaúna (MG);0,772811573
Arneiroz (CE);0,772807617
Oratórios (MG);0,772689739
Glória (BA);0,772284912
Aveiro (PA);0,770895668
Morro Agudo (SP);0,770753381
Conchas (SP);0,770461087
Guareí (SP);0,770452595
Boqueirão do Leão (RS);0,770364372
Aurelino Leal (BA);0,770353491
Morretes (PR);0,770095678
Areial (PB);0,76990742
Brasilândia do Tocantins (TO);0,769871418
São Roque de Minas (MG);0,769799424
Cabo Verde (MG);0,769556542
Roteiro (AL);0,769435387
Santo Antônio do Pinhal (SP);0,76936774
Guarujá do Sul (SC);0,769286853
Presidente Bernardes (SP);0,769127581
Nova Ubiratã (MT);0,768869851
Mirandiba (PE);0,768838836
Japonvar (MG);0,768766234
Santana de Pirapama (MG);0,768630279
Santa Bárbara do Leste (MG);0,768627439
São Félix do Araguaia (MT);0,768609117
Angical (BA);0,768544569
Lajedão (BA);0,768536574
Barra do Garças (MT);0,768536574
Itapecuru Mirim (MA);0,768300425
Candeias do Jamari (RO);0,768226541
Barão de Cotegipe (RS);0,768183103
São Lourenço do Sul (RS);0,768105139
Morrinhos (GO);0,767822465
Alagoa (MG);0,767817681
Itapé (BA);0,767464251
Ipojuca (PE);0,767212628
Recreio (MG);0,767050351
Paranatinga (MT);0,766870367
Pariconha (AL);0,76659475
Anicuns (GO);0,766584392
Guapirama (PR);0,766542964
Irauçuba (CE);0,766094225
Presidente Prudente (SP);0,765844684
Candeias (MG);0,765839046
Itabira (MG);0,765757485
Riachuelo (RN);0,765564834
Taió (SC);0,76544252
Macau (RN);0,765042551
Caaporã (PB);0,764894662
Cantagalo (MG);0,764834514
Barra Mansa (RJ);0,764312801
Cantanhede (MA);0,764285523
São João do Oriente (MG);0,764281592
Cajueiro da Praia (PI);0,763969425
São Simão (GO);0,763930773
Dom Viçoso (MG);0,763818579
Santa Isabel (SP);0,763727774
São Sebastião do Anta (MG);0,763325315
Corupá (SC);0,763164606
Guaratinguetá (SP);0,763156033
Caldas Brandão (PB);0,763135768
Sant'Ana do Livramento (RS);0,763074403
Itaíba (PE);0,76283686
Araquari (SC);0,762572178
Cornélio Procópio (PR);0,762003423
Ipiranga do Piauí (PI);0,761834897
